knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K08093	170.07	domain	trim	0.696752	577	419	657	213	4.33	0.590	3-hexulose-6-phosphate synthase [EC:4.1.2.43]
K08094	98.53	full	all	0.905808	750	577	527	187	2.92	0.590	6-phospho-3-hexuloisomerase [EC:5.3.1.27]
K08095	115.20	full	trim	0.981079	579	432	1411	207	3.63	0.590	cutinase [EC:3.1.1.74]
K08096	146.30	full	all	1.000000	162	134	408	253	2.10	0.590	GTP cyclohydrolase IIa [EC:3.5.4.29]
K08097	112.17	full	all	1.000000	239	218	466	258	2.66	0.590	phosphosulfolactate synthase [EC:4.4.1.19]
K08098	189.40	full	all	0.983156	269	268	3497	529	3.19	0.590	phosphatidylinositol glycan, class Z [EC:2.4.1.-]
K08099	139.20	full	all	1.000000	240	234	871	308	1.72	0.590	chlorophyllase [EC:3.1.1.14]
K08100	538.17	full	all	0.901058	83	58	931	511	1.38	0.590	bilirubin oxidase [EC:1.3.3.5]
K08101	227.13	full	all	0.979784	108	104	649	318	1.14	0.591	phytochromobilin:ferredoxin oxidoreductase [EC:1.3.7.4]
K08102	718.00	full	all	0.792450	136	132	981	424	1.12	0.591	heparan sulfate 6-O-sulfotransferase HS6ST2 [EC:2.8.2.-]
K08103	693.50	full	all	0.818905	161	158	1132	401	0.98	0.590	heparan sulfate 6-O-sulfotransferase HS6ST3 [EC:2.8.2.-]
K08104	419.50	full	all	0.888292	209	189	1194	347	1.68	0.590	[heparan sulfate]-glucosamine 3-sulfotransferase 5 [EC:2.8.2.23]
K08105	312.20	domain	all	0.979717	138	127	840	358	1.53	0.589	dermatan 4-sulfotransferase 1 [EC:2.8.2.35]
K08106	115.00	domain	all	0.992941	216	211	2042	468	2.56	0.590	N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase [EC:2.8.2.33]
K08107	712.40	full	all	0.935832	168	165	1848	548	1.53	0.590	glypican 1
K08108	791.67	full	trim	0.938709	54	48	700	578	0.64	0.591	glypican 2
K08109	641.37	full	trim	0.920236	134	116	1189	564	1.22	0.591	glypican 3
K08110	759.03	domain	all	0.609443	189	179	2058	573	2.11	0.590	glypican 4
K08111	614.27	full	trim	0.812806	250	241	1915	536	2.22	0.590	glypican 5
K08112	866.23	full	all	0.656416	240	236	2026	546	2.13	0.590	glypican 6
K08114	1917.00	full	all	0.961225	133	133	4343	1885	1.34	0.591	receptor-type tyrosine-protein phosphatase zeta [EC:3.1.3.48]
K08115	273.63	domain	all	0.995434	335	333	6974	2277	3.82	0.590	chondroitin sulfate proteoglycan 4
K08116	140.60	full	all	0.990291	156	153	2096	478	1.80	0.589	chondroitin sulfate proteoglycan 5
K08117	988.53	full	all	0.873570	150	149	1754	753	0.90	0.591	amyloid-like protein 2
K08118	555.33	domain	all	0.972963	123	115	520	365	0.68	0.592	biglycan
K08119	432.40	domain	all	0.992509	136	134	1650	708	1.29	0.590	extracellular matrix protein 2
K08120	552.80	domain	all	0.955673	128	117	492	363	0.78	0.589	asporin
K08121	450.37	domain	trim	0.947769	165	151	531	351	0.88	0.589	fibromodulin
K08122	480.10	domain	all	0.904709	141	131	608	344	0.88	0.589	lumican
K08123	518.13	full	all	0.987234	127	120	740	351	0.67	0.591	keratocan
K08124	554.60	domain	all	1.000000	97	94	481	418	0.78	0.590	osteomodulin
K08125	540.80	domain	all	0.990989	124	112	867	377	0.75	0.589	proline arginine-rich end leucine-rich repeat protein
K08126	327.50	full	all	0.979019	156	146	533	289	0.85	0.590	osteoglycin (osteoinductive factor, mimecan)
K08127	421.33	full	trim	0.978871	151	124	863	323	0.87	0.592	dermatan sulfate proteoglycan 3 (PG-Lb)
K08128	409.50	full	all	0.939224	80	80	695	330	0.98	0.591	opticin
K08129	306.80	domain	all	0.961922	140	137	989	444	2.08	0.590	nyctalopin
K08130	228.10	domain	all	1.000000	138	136	675	357	1.05	0.589	tsukushi (leucine-rich repeat-containing protein 54)
K08131	439.10	domain	all	0.872905	543	538	5138	723	2.42	0.590	collagen, type IX, alpha
K08132	1754.30	domain	all	0.953410	182	181	6842	3095	1.09	0.590	collagen, type XII, alpha
K08133	1528.87	domain	all	0.941902	168	166	3150	1821	0.91	0.590	collagen, type XIV, alpha
K08134	861.97	full	all	0.794304	182	178	2485	701	2.20	0.590	procollagen-proline 3-dioxygenase 1 [EC:1.14.11.7]
K08135	1612.93	full	trim	0.808689	128	108	3240	1293	1.13	0.591	collagen, type XV, alpha
K08136	89.47	domain	all	1.000000	427	412	2021	408	2.20	0.590	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)
K08137	688.63	full	all	0.834307	479	274	592	462	1.12	0.591	MFS transporter, SP family, galactose:H+ symporter
K08138	574.70	full	all	0.951261	246	184	813	464	1.05	0.590	MFS transporter, SP family, xylose:H+ symportor
K08139	407.77	domain	all	0.969916	293	289	1613	519	1.93	0.591	MFS transporter, SP family, sugar:H+ symporter
K08141	302.03	full	all	0.992392	473	463	2572	548	2.12	0.590	MFS transporter, SP family, general alpha glucoside:H+ symporter
K08142	767.10	full	trim	0.830988	121	116	908	500	1.91	0.590	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 3
K08143	780.37	domain	all	0.839696	156	149	1787	506	1.36	0.591	MFS transporter, SP family, solute carrier family 2 (facilitated glucose/fructose transporter), member 5
K08144	578.50	domain	all	0.966972	132	126	1189	510	0.90	0.590	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 6
K08145	357.90	full	all	0.756297	2088	2038	11231	447	4.35	0.590	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8
K08146	670.03	domain	trim	0.908264	225	220	1494	516	1.26	0.589	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 9
K08147	660.80	full	all	0.982570	117	117	1095	554	0.96	0.592	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 10
K08148	619.10	full	all	0.962065	177	177	3013	503	1.18	0.590	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 11
K08149	650.37	full	all	0.965064	137	134	1393	608	1.39	0.590	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 12
K08150	439.50	domain	all	0.918046	982	939	4014	509	3.18	0.590	MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13
K08151	311.73	full	trim	0.978427	975	750	1019	409	2.98	0.590	MFS transporter, DHA1 family, tetracycline resistance protein
K08152	176.53	full	all	0.996700	232	154	515	412	2.65	0.591	MFS transporter, DHA1 family, multidrug resistance protein B
K08153	401.93	full	all	0.768608	436	352	666	399	5.72	0.590	MFS transporter, DHA1 family, multidrug resistance protein
K08154	374.50	full	all	0.972278	490	311	589	398	2.13	0.590	MFS transporter, DHA1 family, 2-module integral membrane pump EmrD
K08155	491.40	full	trim	0.912713	430	424	2976	494	2.11	0.589	MFS transporter, DHA1 family, solute carrier family 18 (vesicular amine transporter), member 1/2
K08156	436.73	full	all	0.994413	414	270	557	388	1.22	0.591	MFS transporter, DHA1 family, arabinose polymer utilization protein
K08157	543.10	full	all	0.993463	157	155	1788	569	1.13	0.590	MFS transporter, DHA1 family, multidrug resistance protein
K08158	531.57	full	all	0.981414	194	193	1551	553	1.50	0.590	MFS transporter, DHA1 family, multidrug resistance protein
K08159	291.07	full	trim	0.951875	670	464	577	395	1.43	0.589	MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein
K08160	215.57	full	all	0.996810	509	315	514	411	1.25	0.589	MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein
K08161	228.50	full	all	0.989532	844	531	726	400	2.69	0.590	MFS transporter, DHA1 family, multidrug resistance protein
K08162	242.30	full	all	0.982963	462	267	598	400	2.21	0.590	MFS transporter, DHA1 family, multidrug resistance protein
K08163	435.23	full	all	0.996700	272	153	482	392	0.85	0.591	MFS transporter, DHA1 family, multidrug resistance protein
K08164	414.43	full	all	0.961937	153	137	508	393	2.06	0.590	MFS transporter, DHA1 family, putative efflux transporter
K08165	580.33	full	all	1.000000	28	28	664	521	0.90	0.591	MFS transporter, DHA2 family, multidrug resistance protein
K08166	370.17	full	all	0.984474	339	294	864	466	2.08	0.590	MFS transporter, DHA2 family, methylenomycin A resistance protein
K08167	372.80	full	all	0.987212	1330	1143	1715	504	2.15	0.590	MFS transporter, DHA2 family, multidrug resistance protein
K08168	272.63	full	all	0.979761	412	272	883	456	2.89	0.590	MFS transporter, DHA2 family, metal-tetracycline-proton antiporter
K08169	389.23	full	all	0.993026	1096	794	759	461	1.97	0.590	MFS transporter, DHA2 family, multidrug resistance protein
K08170	432.47	full	all	0.997494	385	200	695	464	0.98	0.590	MFS transporter, DHA2 family, multidrug resistance protein
K08171	401.13	full	trim	0.955596	186	174	747	429	1.70	0.590	MFS transporter, OPA family, solute carrier family 37 (glycerol-6-phosphate transporter), member 4
K08172	526.43	full	all	0.969196	313	218	615	437	1.11	0.590	MFS transporter, MHS family, shikimate and dehydroshikimate transport protein
K08173	500.53	full	all	0.976827	431	286	724	454	1.12	0.591	MFS transporter, MHS family, metabolite:H+ symporter
K08174	325.63	full	all	0.995169	131	103	482	399	1.79	0.590	MFS transporter, FHS family, glucose/mannose:H+ symporter
K08175	170.07	full	all	0.985270	303	301	2405	447	4.76	0.590	MFS transporter, FHS family, Na+ dependent glucose transporter 1
K08176	262.17	full	all	0.970639	1438	1348	4671	508	3.18	0.590	MFS transporter, PHS family, inorganic phosphate transporter
K08177	186.60	domain	all	0.991655	1251	905	1143	396	4.87	0.590	MFS transporter, OFA family, oxalate/formate antiporter
K08178	256.53	domain	trim	0.974942	597	423	1142	450	2.63	0.590	MFS transporter, SHS family, lactate transporter
K08179	811.87	full	all	0.977589	187	183	839	478	0.59	0.588	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 1
K08180	701.20	full	all	0.902219	164	158	1403	459	2.38	0.589	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 3
K08181	427.33	full	all	0.979321	124	121	1181	506	1.23	0.589	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 4
K08182	538.60	full	all	0.968333	151	148	1343	463	1.03	0.592	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 5
K08183	407.73	domain	all	0.984596	167	165	1283	522	1.03	0.590	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 6
K08184	759.73	full	all	0.903435	229	221	1129	481	1.17	0.589	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 7
K08185	745.17	full	all	0.940666	90	89	753	505	0.59	0.589	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 8
K08186	456.27	full	all	0.957745	153	146	888	505	2.08	0.591	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 9
K08187	388.37	domain	trim	0.599352	333	327	3863	456	2.97	0.590	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10
K08188	564.50	full	all	0.961859	56	55	751	447	0.79	0.592	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 11
K08189	523.33	full	all	0.842886	137	134	1028	433	2.18	0.590	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 13
K08190	503.37	domain	trim	0.868666	114	111	1126	509	3.63	0.590	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 14
K08191	377.77	domain	all	0.962995	1558	1150	1541	420	2.69	0.590	MFS transporter, ACS family, hexuronate transporter
K08192	436.73	full	trim	0.949885	83	75	825	520	1.37	0.590	MFS transporter, ACS family, allantoate permease
K08193	559.70	domain	all	0.435816	817	806	3976	442	3.32	0.590	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other
K08194	552.37	full	trim	0.806616	822	544	774	433	2.74	0.590	MFS transporter, ACS family, D-galactonate transporter
K08195	461.87	full	trim	0.889794	1487	1128	1168	445	3.32	0.590	MFS transporter, AAHS family, 4-hydroxybenzoate transporter
K08196	372.53	full	all	1.000000	186	103	531	425	0.80	0.590	MFS transporter, AAHS family, cis,cis-muconate transporter
K08197	362.50	full	all	0.996491	143	140	1619	607	1.63	0.591	MFS transporter, SIT family, siderophore-iron:H+ symporter
K08198	1012.47	full	all	0.922506	50	49	664	554	0.72	0.590	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 1
K08199	891.97	full	trim	0.881369	167	162	1055	553	0.92	0.590	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 2
K08200	746.23	domain	all	0.817017	113	111	1224	552	1.59	0.591	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 3
K08202	543.40	full	all	0.514055	1325	1315	8723	498	4.28	0.590	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5
K08203	836.57	domain	all	0.804893	182	179	3282	545	1.26	0.590	MFS transporter, OCT family, solute carrier family 22 (organic anion transporter), member 6
K08204	671.03	domain	all	0.949805	225	221	1505	527	1.01	0.589	MFS transporter, OCT family, solute carrier family 22 (organic anion transporter), member 7
K08205	815.87	domain	all	0.858424	60	57	848	543	1.27	0.591	MFS transporter, OCT family, solute carrier family 22 (organic anion transporter), member 8
K08206	762.73	domain	all	0.891856	168	165	1018	552	1.26	0.589	MFS transporter, OCT family, solute carrier family 22 (organic anion/cation transporter), member 9/10/19/24/25
K08207	880.30	domain	all	0.818391	52	52	1072	550	1.04	0.590	MFS transporter, OCT family, solute carrier family 22 (organic anion/cation transporter), member 11
K08208	875.57	domain	trim	0.816162	55	51	979	553	0.97	0.591	MFS transporter, OCT family, solute carrier family 22 (organic anion/cation transporter), member 12
K08209	646.00	domain	trim	0.829380	239	236	3120	536	1.63	0.590	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 13
K08210	654.30	domain	all	0.989247	49	48	1300	623	0.86	0.591	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 14
K08211	494.37	domain	trim	0.912569	185	178	1355	518	1.62	0.591	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 15
K08212	674.13	domain	all	0.979521	129	125	1398	577	0.94	0.591	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 16
K08213	502.87	full	trim	0.989071	99	86	1166	561	0.83	0.590	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 17
K08214	206.50	full	all	0.983498	159	154	1519	419	2.66	0.590	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 18
K08215	426.00	full	trim	0.966910	174	153	2270	600	0.86	0.589	MFS transporter, OCT family, solute carrier family 22 (organic anion transporter), member 23
K08216	883.80	domain	trim	0.596825	118	107	1025	552	1.30	0.591	MFS transporter, OCT family, solute carrier family 22 (organic anion transporter), member 20
K08217	209.80	full	all	0.977850	386	325	763	411	3.66	0.590	MFS transporter, DHA3 family, macrolide efflux protein
K08218	210.63	full	all	0.987385	2084	1647	3154	413	4.02	0.590	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG
K08219	250.87	full	all	1.000000	413	221	669	384	1.12	0.591	MFS transporter, UMF2 family, putative MFS family transporter protein
K08220	315.83	full	all	0.919052	534	525	3132	463	3.97	0.590	MFS transporter, FLVCR family, feline leukemia virus subgroup C receptor-related protein
K08221	192.00	full	all	0.986065	769	584	930	398	2.92	0.590	MFS transporter, ACDE family, multidrug resistance protein
K08222	125.70	full	all	1.000000	268	198	692	404	3.60	0.590	MFS transporter, YQGE family, putative transporter
K08223	125.87	domain	all	0.992138	1606	1214	1177	384	4.57	0.590	MFS transporter, FSR family, fosmidomycin resistance protein
K08224	143.77	domain	trim	0.996562	1510	1158	1109	396	2.85	0.590	MFS transporter, YNFM family, putative membrane transport protein
K08225	252.87	full	all	0.994082	393	257	699	418	2.40	0.590	MFS transporter, ENTS family, enterobactin (siderophore) exporter
K08226	281.50	full	all	1.000000	358	338	972	450	2.62	0.590	MFS transporter, BCD family, chlorophyll transporter
K08227	249.50	full	all	0.998158	441	271	518	400	1.13	0.590	MFS transporter, LPLT family, lysophospholipid transporter
K08228	847.60	full	all	0.896840	146	145	1276	550	0.99	0.590	MFS transporter, LAT3 family, solute carrier family 43, member 1
K08229	841.10	full	trim	0.913543	180	165	1177	573	1.28	0.590	MFS transporter, LAT3 family, solute carrier family 43, member 2
K08230	378.27	full	all	0.879717	242	237	2344	495	3.34	0.590	MFS transporter, LAT3 family, solute carrier family 43, member 3
K08231	705.73	full	all	0.929817	133	122	1366	470	0.90	0.591	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 2
K08232	286.60	full	all	0.995247	431	422	2150	433	1.05	0.590	monodehydroascorbate reductase (NADH) [EC:1.6.5.4]
K08233	-	-	-	-	1	1	264	264	0.38	0.587	polyneuridine-aldehyde esterase [EC:3.1.1.78]
K08234	92.00	domain	all	0.876966	1627	1148	875	131	4.52	0.590	glyoxylase I family protein
K08235	79.23	full	all	0.767897	2734	2580	2240	274	1.95	0.590	xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]
K08236	-	-	-	-	2	2	511	511	0.38	0.588	limonoid glucosyltransferase [EC:2.4.1.210]
K08237	558.43	full	all	0.896427	618	592	2584	466	1.47	0.591	hydroquinone glucosyltransferase [EC:2.4.1.218]
K08238	254.53	full	all	1.000000	444	418	1150	418	0.93	0.591	xyloglucan 6-xylosyltransferase [EC:2.4.2.39]
K08239	181.10	full	trim	1.000000	183	170	4008	1175	1.96	0.590	UDP-N-acetylglucosamine-lysosomal-enzyme [EC:2.7.8.17]
K08240	594.87	full	all	1.000000	9	8	343	327	0.53	0.587	myosin-heavy-chain kinase [EC:2.7.11.7]
K08241	523.37	domain	trim	0.724030	183	168	822	367	1.40	0.591	jasmonate O-methyltransferase [EC:2.1.1.141]
K08242	404.27	full	all	0.982031	186	173	574	358	0.82	0.591	24-methylenesterol C-methyltransferase [EC:2.1.1.143]
K08243	629.90	domain	all	0.929915	24	23	316	314	0.49	0.587	polyketide reductase
K08244	311.70	full	all	0.997455	201	197	5717	1312	1.99	0.590	alpha-glucan, water dikinase [EC:2.7.9.4]
K08245	441.90	domain	all	0.969311	584	555	2357	498	1.58	0.590	phytepsin [EC:3.4.23.40]
K08246	128.50	full	all	0.990032	155	149	1113	280	1.38	0.590	cycloeucalenol cycloisomerase [EC:5.5.1.9]
K08247	317.70	full	all	1.000000	123	120	1427	1080	0.81	0.590	methionine S-methyltransferase [EC:2.1.1.12]
K08248	663.93	full	all	0.954586	248	241	1536	554	1.26	0.590	(R)-mandelonitrile lyase [EC:4.1.2.10]
K08249	867.87	domain	all	1.000000	4	4	532	502	0.45	0.586	hydroxymandelonitrile lyase [EC:4.1.2.11]
K08251	324.60	full	all	0.989830	152	150	887	332	1.27	0.591	alpha 1,4-N-acetylglucosaminyltransferase [EC:2.4.1.-]
K08252	540.90	domain	all	0.478975	44	44	3200	552	3.66	0.590	receptor protein-tyrosine kinase [EC:2.7.10.1]
K08253	266.20	full	all	0.300000	14	13	921	374	3.39	0.590	non-specific protein-tyrosine kinase [EC:2.7.10.2]
K08254	278.73	full	all	0.985643	103	103	2412	451	2.17	0.590	glucan endo-1,3-alpha-glucosidase [EC:3.2.1.59]
K08255	573.93	full	all	1.000000	91	51	454	440	0.73	0.591	CoA-disulfide reductase [EC:1.8.1.14]
K08256	266.63	full	all	0.992462	504	401	1133	375	2.28	0.590	phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345]
K08257	104.70	full	all	0.978365	409	407	3154	448	2.16	0.590	mannan endo-1,6-alpha-mannosidase [EC:3.2.1.101]
K08258	470.73	full	all	0.941176	67	30	609	390	1.42	0.590	staphopain A [EC:3.4.22.48]
K08259	157.67	full	all	0.938725	65	27	956	332	1.71	0.591	lysostaphin [EC:3.4.24.75]
K08260	164.50	full	all	0.977166	124	112	613	226	2.54	0.590	adenosylcobinamide hydrolase [EC:3.5.1.90]
K08261	487.17	full	trim	0.734784	105	61	282	260	0.67	0.589	D-sorbitol dehydrogenase (acceptor) [EC:1.1.99.21]
K08262	-	-	-	-	1	1	375	375	0.36	0.596	acyl-lipid delta12-acetylenase [EC:1.14.19.39]
K08264	337.13	full	trim	0.972472	61	53	701	385	1.38	0.590	heterodisulfide reductase subunit D [EC:1.8.98.1]
K08265	239.60	full	all	1.000000	35	28	302	258	0.77	0.590	heterodisulfide reductase subunit E [EC:1.8.98.1]
K08266	198.80	domain	all	0.995025	480	404	1660	306	1.54	0.590	target of rapamycin complex subunit LST8
K08267	168.17	full	all	0.998617	367	362	12190	1177	3.84	0.590	rapamycin-insensitive companion of mTOR
K08268	748.17	full	all	0.756433	247	243	5102	705	2.89	0.590	hypoxia-inducible factor 1 alpha
K08269	364.50	domain	trim	0.630803	638	629	5371	544	4.34	0.590	serine/threonine-protein kinase ULK2 [EC:2.7.11.1]
K08270	161.10	full	all	1.000000	142	130	505	221	1.23	0.590	DNA-damage-inducible transcript 4
K08271	461.70	full	all	0.823784	188	179	775	373	1.87	0.589	STE20-related kinase adapter protein alpha
K08272	63.17	full	all	0.996903	953	808	2209	336	3.10	0.590	calcium binding protein 39
K08273	180.13	full	trim	1.000000	79	78	1343	421	2.14	0.590	SH2 domain protein 2A
K08274	74.33	full	all	1.000000	98	13	98	47	1.41	1.175	late transcription unit A protein
K08275	121.00	full	all	1.000000	114	18	104	97	0.72	0.592	late transcription unit B protein
K08276	36.07	full	all	1.000000	648	379	660	158	3.40	0.590	ecotin
K08277	138.97	full	all	1.000000	167	53	197	131	0.79	0.591	transcriptional activator CaiF
K08278	33.67	full	all	1.000000	79	9	32	21	3.34	2.517	thr operon leader peptide
K08279	341.70	full	all	0.938481	172	78	222	197	0.72	0.589	carnitine operon protein CaiE
K08280	269.00	full	all	1.000000	10	3	201	196	0.52	0.590	lipopolysaccharide O-acetyltransferase [EC:2.3.1.-]
K08281	86.23	full	all	0.951314	2197	1675	1236	190	2.54	0.590	nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K08282	250.77	domain	all	0.396617	202	179	5105	575	14.69	0.590	non-specific serine/threonine protein kinase [EC:2.7.11.1]
K08283	151.83	domain	all	0.994083	263	252	2627	597	1.73	0.590	collagen type IV alpha-3-binding protein
K08284	120.73	full	all	0.987232	116	116	2432	581	3.04	0.590	calcium channel MID1
K08285	998.97	full	all	0.830106	188	163	2248	646	2.38	0.590	midline 1 [EC:2.3.2.27]
K08286	346.90	domain	all	0.513870	687	678	9936	389	4.33	0.590	protein-serine/threonine kinase [EC:2.7.11.-]
K08287	501.33	domain	all	0.899193	567	545	3648	463	2.91	0.590	dual-specificity kinase [EC:2.7.12.1]
K08288	127.50	domain	all	0.984661	621	615	3451	432	4.11	0.590	protein kinase C substrate 80K-H
K08289	234.53	full	all	0.996222	1929	1460	1415	398	1.66	0.589	phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]
K08290	374.03	full	all	1.000000	118	117	1846	782	1.46	0.590	Fas-activated serine/threonine kinase [EC:2.7.11.8]
K08291	727.27	full	all	0.939568	542	528	2943	575	1.20	0.591	G protein-coupled receptor kinase [EC:2.7.11.16]
K08292	211.37	full	trim	0.960707	218	207	2806	537	3.56	0.590	elongation factor 2 kinase [EC:2.7.11.20]
K08293	535.80	domain	all	0.923747	28	28	572	400	0.78	0.589	sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]
K08294	449.40	full	all	0.987446	124	121	1579	461	1.38	0.589	mitogen-activated protein kinase kinase [EC:2.7.12.2]
K08295	514.43	domain	trim	0.992095	421	380	1043	541	1.33	0.590	2-aminobenzoate-CoA ligase [EC:6.2.1.32]
K08296	75.60	domain	trim	0.988711	2920	2266	1499	156	4.38	0.590	phosphohistidine phosphatase [EC:3.1.3.-]
K08297	592.67	full	all	0.984496	196	66	395	377	0.71	0.592	crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]
K08298	468.00	full	all	0.988889	198	94	468	404	1.09	0.589	L-carnitine CoA-transferase [EC:2.8.3.21]
K08299	316.57	domain	trim	0.885925	524	347	414	264	1.82	0.590	crotonobetainyl-CoA hydratase [EC:4.2.1.149]
K08300	651.27	full	all	0.818385	2888	2448	12754	627	1.96	0.590	ribonuclease E [EC:3.1.26.12]
K08301	451.43	domain	all	0.643233	3027	2187	8494	501	2.02	0.590	ribonuclease G [EC:3.1.26.-]
K08302	388.63	domain	trim	0.845703	608	339	446	284	1.89	0.590	tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]
K08303	40.60	full	all	0.998629	4923	3653	4524	384	4.55	0.590	putative protease [EC:3.4.-.-]
K08304	145.73	full	all	0.999621	1747	1321	1908	373	2.87	0.590	membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]
K08305	79.80	domain	all	0.975579	2051	1539	2053	322	2.93	0.590	membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]
K08306	244.87	full	all	0.990355	686	418	934	368	2.55	0.590	membrane-bound lytic murein transglycosylase C [EC:4.2.2.-]
K08307	136.97	domain	all	0.998235	2114	1703	5200	463	5.55	0.590	membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]
K08308	233.40	domain	all	0.995402	432	218	326	201	1.01	0.589	membrane-bound lytic murein transglycosylase E [EC:4.2.2.-]
K08309	126.17	full	all	0.989450	2764	2280	5831	567	11.83	0.590	soluble lytic murein transglycosylase [EC:4.2.2.-]
K08310	79.87	domain	all	0.963864	1032	669	443	146	2.60	0.590	dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]
K08311	65.23	domain	all	0.999320	2282	1471	803	162	1.83	0.590	putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
K08312	176.60	full	all	0.995551	938	564	337	186	1.08	0.592	ADP-ribose diphosphatase [EC:3.6.1.-]
K08313	371.27	full	all	0.781210	293	184	289	221	1.02	0.590	fructose-6-phosphate aldolase 1 [EC:4.1.2.-]
K08314	314.17	full	all	0.858506	294	148	287	223	1.40	0.591	fructose-6-phosphate aldolase 2 [EC:4.1.2.-]
K08315	106.20	full	trim	0.980594	516	342	497	154	2.84	0.590	hydrogenase 3 maturation protease [EC:3.4.23.51]
K08316	74.53	domain	all	0.997916	2595	1922	932	181	2.76	0.590	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
K08317	350.47	full	all	0.973432	545	347	481	360	1.91	0.590	uncharacterized oxidoreductase [EC:1.1.-.-]
K08318	345.97	domain	all	0.995556	220	115	398	296	1.04	0.590	4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]
K08319	329.47	domain	all	0.945621	703	496	547	298	2.77	0.590	L-threonate 2-dehydrogenase [EC:1.1.1.411]
K08320	150.20	full	trim	0.969461	349	184	225	131	1.57	0.589	(d)CTP diphosphatase [EC:3.6.1.65]
K08321	404.17	full	all	1.000000	351	187	408	292	0.77	0.592	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase [EC:2.3.1.245]
K08322	332.67	domain	all	0.977953	358	232	510	338	2.13	0.590	L-gulonate 5-dehydrogenase [EC:1.1.1.380]
K08323	403.07	full	all	0.995933	859	617	683	404	1.12	0.591	mannonate dehydratase [EC:4.2.1.8]
K08324	664.40	full	all	0.936123	413	291	544	462	0.89	0.589	succinate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.24]
K08325	489.47	full	all	0.967683	1039	719	757	385	1.42	0.589	NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]
K08326	558.87	full	all	0.981481	106	56	383	361	0.66	0.591	aminopeptidase [EC:3.4.11.-]
K08327	315.50	full	all	0.986183	156	144	508	247	0.68	0.592	phosducin
